ID	chr	exon	strand
ENSG00000077380.16_ENST00000409197.5	chr2	171687672:171687873,171690147:171690263,171692777:171692894,171707287:171707377,171715328:171715443,171725618:171725713,171725919:171726081,171726194:171726293,171726791:171726916,171727821:171727967,171728305:171728418,171728717:171728850,171729709:171729853,171744049:171744189,171745802:171745927,171747776:171748411	+
ENSG00000077380.16_ENST00000409317.5	chr2	171687708:171687873,171690147:171690263,171692777:171692894,171707287:171707377,171712767:171712826,171715328:171715443,171725618:171725713,171725919:171726081,171726194:171726293,171726791:171726916,171727821:171727967,171728305:171728418,171728717:171728850,171729709:171729853,171744049:171744189,171745802:171745927,171747776:171748011	+
ENSG00000151690.15_ENST00000392328.6	chr2	190408355:190408503,190415292:190415413,190435977:190437561,190469758:190469855,190488657:190488818,190489768:190489866,190497439:190497719,190500015:190502314	+
ENSG00000151690.15_TALONT000283777	chr2	190408355:190408503,190435977:190437561,190469758:190469855,190488657:190488818,190489768:190489866,190497439:190497719,190500015:190502315	+
ENSG00000151690.15_TALONT000283778	chr2	190408355:190408503,190435977:190437561,190469758:190469855,190488657:190488818,190489768:190489866,190497439:190497719,190499832:190499856,190500015:190502113	+
ENSG00000151690.15_ENST00000434582.5	chr2	190437424:190437561,190469758:190469855,190488657:190488818,190489768:190489866,190497439:190497719,190499832:190499856,190500015:190502113	+
ENSG00000090097.22_ENST00000355852.6	chr3	51957454:51958349,51958790:51958959,51959047:51959099,51959229:51959292,51959367:51959411,51959577:51959651,51959895:51960023,51960189:51960320,51960526:51960642,51960866:51960898,51961010:51961033,51961160:51961304,51967326:51967457	-
ENSG00000090097.22_ENST00000322099.11	chr3	51957456:51958349,51958790:51958959,51959047:51959099,51959229:51959292,51959367:51959411,51959577:51959651,51959895:51960023,51960189:51960320,51960526:51960642,51960866:51960898,51961010:51961033,51961160:51961304,51962810:51962892	-
ENSG00000023330.15_ENST00000469224.5	chr3	52198086:52198255,52199210:52199440,52202507:52202734,52203863:52204012,52204693:52204915,52205839:52206023,52206572:52206751,52208083:52208247,52211283:52211551,52212258:52212420,52214020:52214180	+
ENSG00000023330.15_ENST00000484952.6	chr3	52198160:52198255,52198672:52198848,52199210:52199440,52202507:52202734,52203863:52204012,52204693:52204915,52205839:52206023,52206572:52206751,52208083:52208247,52211283:52211551,52212258:52212420,52214020:52214327	+
ENSG00000168297.16_ENST00000383716.7	chr3	58332890:58333090,58365874:58365924,58369431:58369478,58382514:58382700,58390582:58390659,58391147:58391220,58391773:58391847,58394998:58395102,58395658:58395759,58397039:58397200,58397605:58397722,58399299:58399377,58403862:58403910,58408924:58409001,58409532:58409618,58410090:58410159,58412901:58412963,58420536:58420568,58424752:58426126	+
ENSG00000168297.16_ENST00000356151.7	chr3	58332892:58333090,58365874:58365924,58369431:58369478,58382514:58382700,58390582:58390659,58391147:58391220,58391773:58391847,58394998:58395102,58395658:58395759,58397039:58397200,58397605:58397722,58399299:58399377,58403862:58403910,58408924:58409001,58409532:58409618,58410090:58410159,58412901:58412963,58424752:58426127	+
ENSG00000177311.12_ENST00000321464.7	chr3	141368504:141368804,141369872:141369946,141381425:141381487,141386872:141386937,141403927:141404031,141442389:141449792	+
ENSG00000177311.12_ENST00000507722.5	chr3	141384810:141384875,141386872:141386937,141403927:141404031,141442389:141442744	+
ENSG00000177311.12_ENST00000509883.5	chr3	141387647:141387887,141403927:141404031,141442389:141444701	+
ENSG00000177311.12_ENST00000510338.5	chr3	141402349:141402449,141403927:141404031,141442389:141442826	+
ENSG00000161267.12_ENST00000392378.6	chr3	197509783:197512364,197514264:197514416,197522640:197522781,197532412:197532522,197533489:197533561,197546361:197546486,197555781:197556048	-
ENSG00000161267.12_ENST00000477015.5	chr3	197512328:197512364,197514264:197514416,197522640:197522781,197532412:197532522,197533489:197533640	-
ENSG00000159692.17_TALONT000301144	chr4	1211445:1212423,1212913:1213030,1213478:1213605,1214343:1214473,1215991:1216205,1225360:1225566,1228199:1228343,1238183:1238337,1241325:1241519,1248661:1248740	-
ENSG00000159692.17_ENST00000703163.1	chr4	1211456:1212423,1212913:1213030,1213478:1213605,1214343:1214473,1215991:1216205,1225360:1225566,1228199:1228343,1238183:1238337,1241325:1241519,1241651:1243465	-
ENSG00000138758.12_TALONT000304387	chr4	76949751:76949930,76996425:76996539,77005601:77005796,77011735:77011921,77014856:77015017,77019165:77019261,77020502:77020670,77028629:77028761,77030783:77030970,77036770:77036837,77039073:77040152	+
ENSG00000138758.12_ENST00000264893.11	chr4	76949752:76949930,76996425:76996539,77005601:77005796,77011735:77011921,77014856:77015017,77019165:77019261,77020502:77020670,77028629:77028761,77030783:77030970,77034497:77038615	+
ENSG00000120251.21_ENST00000296526.12	chr4	157220728:157221130,157221667:157221807,157303552:157303791,157312679:157312875,157317658:157317711,157321438:157321599,157332819:157332986,157333249:157333353,157334010:157334120,157335671:157335877,157336377:157336747,157341264:157341462,157359896:157360143,157361538:157361652,157362799:157363047,157363435:157366075	+
ENSG00000120251.21_ENST00000264426.14	chr4	157220728:157221130,157221667:157221807,157303552:157303791,157312679:157312875,157317658:157317711,157321438:157321599,157332819:157332986,157333249:157333353,157334010:157334120,157335671:157335877,157336377:157336747,157341264:157341462,157359896:157360143,157361010:157361124,157362799:157363047,157363435:157366075	+
ENSG00000113597.18_ENST00000231526.8	chr5	65625040:65625106,65635301:65635369,65635944:65636043,65637696:65637780,65647055:65647182,65650810:65650882,65652501:65652545,65658368:65658501,65660699:65660897,65662050:65662150,65664237:65664384,65664504:65666069	+
ENSG00000113597.18_ENST00000505553.5	chr5	65625045:65625106,65635301:65635369,65635944:65636043,65637696:65637780,65647055:65647182,65650810:65650882,65652501:65652545,65658368:65658501,65660699:65660897,65662050:65662150,65664234:65664384,65664504:65664766	+
ENSG00000133835.18_TALONT000313745	chr5	119452465:119452633,119456315:119456368,119473908:119474015,119474401:119474460,119475706:119475727,119475824:119475870,119477417:119477501,119478834:119479021,119489192:119489283,119492100:119493946,119496543:119496646,119499317:119499553,119502041:119502092,119506818:119506889,119509141:119509244,119514981:119515046,119525216:119525285,119525917:119526023,119527133:119527219,119529894:119529980,119531266:119531404,119536423:119536550,119541905:119542332	+
ENSG00000133835.18_ENST00000513628.5	chr5	119476542:119476724,119477417:119477501,119478834:119479021,119489192:119489283,119492100:119492124,119493818:119493946,119496543:119496646,119499317:119499553,119502041:119502092,119506818:119506889,119509141:119509244,119514981:119515046,119525216:119525285,119525917:119526023,119527133:119527219,119529894:119529980,119531266:119531404,119536423:119536550,119541905:119542174	+
ENSG00000164402.14_ENST00000378719.7	chr5	132750819:132752181,132760802:132760992,132761133:132761265,132761458:132761626,132761800:132761896,132762484:132762645,132763706:132763892,132764224:132764419,132765409:132765529,132777108:132777239	-
ENSG00000164402.14_ENST00000458488.2	chr5	132758200:132758556,132760802:132760992,132761133:132761265,132761458:132761626,132761800:132761896,132762484:132762645,132763706:132763892,132764224:132764419,132765409:132765529,132777108:132777220	-
ENSG00000152377.14_TALONT000314564	chr5	136975300:136978844,136979332:136979469,136985140:136985202,136988422:136988643,136992484:136992600,137067715:137067829,137112435:137112561,137140580:137140694,137267010:137267055,137313428:137313577	-
ENSG00000152377.14_ENST00000515091.1	chr5	136978454:136978844,136979332:136979500	-
ENSG00000081791.9_TALONT000315403	chr5	141923855:141923972,141924581:141924695,141925410:141925527,141928151:141928298,141929582:141929740,141929989:141930074,141930178:141930274,141933259:141933401,141934240:141934398,141934494:141934586,141938521:141940146	+
ENSG00000081791.9_ENST00000509110.1	chr5	141937074:141937357,141938521:141938948	+
ENSG00000122203.15_ENST00000298569.9	chr5	176346062:176347808,176347921:176348063,176348250:176348356,176350613:176350737,176352622:176352748,176355571:176355749,176359481:176359567,176359811:176359918,176361602:176361764	-
ENSG00000122203.15_ENST00000510164.5	chr5	176347494:176347808,176347921:176348063,176348250:176348356,176350613:176350737,176352622:176352748,176355571:176355749,176359481:176359567,176361602:176361761	-
ENSG00000204580.14_ENST00000376568.8	chr6	30884519:30884710,30888688:30888814,30888908:30889010,30889202:30889430,30890973:30891120,30891380:30891479,30892002:30892188,30892296:30892542,30893068:30893163,30893272:30893423,30894506:30894671,30895404:30895514,30896621:30896865,30897014:30897141,30897379:30897597,30898073:30898307,30898888:30899037,30899156:30900156	+
ENSG00000204580.14_TALONT000319421	chr6	30884519:30884710,30888688:30888814,30888908:30889010,30889202:30889430,30890973:30891120,30891380:30891479,30892002:30892188,30892296:30892542,30893068:30893163,30893272:30893423,30894506:30894671,30896621:30896865,30897014:30897141,30897379:30897597,30898073:30898307,30898888:30899037,30899156:30900154	+
ENSG00000204231.11_ENST00000374685.8	chr6	33193588:33194829,33194945:33195050,33195363:33195466,33195570:33195702,33195907:33196036,33196434:33196606,33197762:33197941,33198308:33198464,33199169:33199416,33200242:33200614	-
ENSG00000204231.11_ENST00000374680.4	chr6	33193588:33194829,33194945:33195050,33195363:33195454,33195570:33195702,33195907:33196036,33196434:33196606,33197762:33197941,33198308:33198464,33199169:33199416,33200242:33200665	-
ENSG00000047932.14_ENST00000368498.7	chr6	117560269:117563384,117566854:117567034,117569572:117569736,117570860:117570955,117573467:117573632,117575177:117575352,117577448:117577471,117578900:117579064,117602004:117602511	-
ENSG00000047932.14_ENST00000052569.10	chr6	117560269:117563384,117566854:117567034,117569572:117569736,117570860:117570955,117573467:117573632,117575177:117575352,117578900:117579064,117602004:117602528	-
ENSG00000118515.12_ENST00000237305.11	chr6	134169252:134170435,134170826:134170915,134171023:134171178,134171637:134171732,134172193:134172316,134172662:134172774,134173023:134173154,134173274:134173357,134173462:134173566,134174005:134174080,134174511:134174586,134174732:134174896	-
ENSG00000118515.12_ENST00000367858.10	chr6	134169256:134170435,134170826:134170915,134171023:134171178,134171637:134171732,134172193:134172316,134172662:134172774,134173023:134173154,134173274:134173357,134173462:134173566,134174005:134174080,134174511:134174586,134207356:134207431,134261933:134262148,134317392:134318112	-
ENSG00000106069.24_ENST00000222792.11	chr7	29194775:29194990,29354625:29354663,29367932:29367987,29393679:29393710,29398373:29398486,29400543:29400828,29480279:29480356,29495952:29496036,29499867:29500040,29504744:29504821,29507228:29507365,29509301:29509406,29512564:29514328	+
ENSG00000106069.24_ENST00000412711.6	chr7	29479712:29480356,29495952:29496036,29499867:29500040,29504744:29504821,29507228:29507365,29509301:29509406,29512564:29514328	+
ENSG00000155849.16_ENST00000396045.7	chr7	36854361:36855751,36861659:36861736,36870393:36870475,36878010:36878117,36887560:36887672,36894854:36895017,36985923:36986509	-
ENSG00000155849.16_ENST00000448602.5	chr7	36855551:36855751,36861659:36861736,36870393:36870475,36878010:36878117,36887560:36887672,36894854:36895017,37013299:37013435,37096619:37096727,37133130:37133234,37211386:37211517,37213335:37213457,37216645:37216695,37222615:37222693,37224879:37225030,37233095:37233194,37244356:37244391,37259181:37259350,37271832:37271882,37314850:37314922,37315920:37315960,37342613:37342763,37448860:37449223	-
ENSG00000010270.14_ENST00000009041.12	chr7	38178245:38178420,38207447:38207729,38214357:38214434,38215028:38215105,38217025:38217078,38217188:38217305,38219565:38219660,38228799:38228871,38229923:38230669	+
ENSG00000010270.14_ENST00000471550.1	chr7	38178324:38178420,38207447:38207729,38214357:38214434,38215028:38217305,38219565:38219660,38228799:38228871,38229923:38230670	+
ENSG00000106628.13_ENST00000610533.6	chr7	44114680:44114945,44115295:44115396,44115766:44115893,44116115:44116272,44116430:44116510,44116817:44117015,44117133:44117247,44117619:44117742,44117943:44118064,44121834:44122109,44123511:44123548	-
ENSG00000106628.13_ENST00000698985.1	chr7	44114716:44116510,44116817:44117015,44117133:44117247,44117619:44117742,44117943:44118064,44121834:44122109,44123511:44123558	-
ENSG00000006576.17_ENST00000307305.12	chr7	77798805:77798971,77840221:77840300,77893608:77893664,77900711:77900780,77901762:77901920,77908793:77908958,77910245:77910409,77920279:77920465,77922623:77922778,77929109:77929327,77937710:77937838,77940030:77940302,77940528:77940659,77942700:77942786,77949678:77949833,77951617:77951712,77953769:77953894,77954858:77957225	+
ENSG00000006576.17_TALONT000332603	chr7	77798813:77798971,77840221:77840300,77893608:77893664,77900711:77900780,77901762:77901920,77908793:77908958,77910245:77910409,77920279:77920465,77922623:77922778,77929109:77929327,77937710:77937838,77940030:77940302,77942700:77942786,77949678:77949833,77951617:77951712,77953769:77953894,77954858:77957222	+
ENSG00000106617.15_ENST00000418337.6	chr7	151556124:151557232,151560524:151560617,151564078:151564224,151565346:151565383,151565720:151565885,151568716:151568842,151570171:151570225,151572664:151572709,151574891:151574949,151576371:151576452,151595345:151595454,151632069:151632353	-
ENSG00000106617.15_ENST00000392801.6	chr7	151556941:151557232,151560524:151560617,151564078:151564224,151565346:151565383,151565720:151565885,151568716:151568842,151570171:151570225,151572664:151572709,151574891:151574949,151576371:151576452,151595345:151595454,151632069:151632138,151675420:151675637,151781152:151781431,151786470:151786541,151814416:151814840	-
ENSG00000129422.15_ENST00000381861.7	chr8	17643804:17646139,17646982:17647079,17649846:17649962,17653186:17653281,17653425:17653498,17654561:17654666,17655863:17656065,17675186:17675252,17684328:17684542,17713214:17713252,17715767:17715901,17721712:17722221	-
ENSG00000129422.15_ENST00000518889.1	chr8	17645869:17646139,17646982:17647278	-
ENSG00000104613.12_TALONT000338802	chr8	19817391:19817666,19818275:19818342,19819573:19819676,19820379:19820518,19822439:19822520,19823301:19823441,19823873:19824044,19824803:19824972,19826426:19826559,19830406:19830559,19832028:19832110,19833169:19833321,19837052:19837160,19842848:19842927,19844076:19844238,19845704:19845797,19849162:19849239,19851649:19852061	+
ENSG00000104613.12_ENST00000397977.8	chr8	19817416:19817666,19818275:19818342,19819573:19819676,19820379:19820518,19822439:19822520,19823301:19823441,19823873:19824044,19824803:19824972,19826426:19826559,19830406:19830559,19832028:19832110,19833169:19833321,19837052:19837160,19842848:19842927,19844076:19844238,19845704:19845797,19851649:19852067	+
ENSG00000147488.13_TALONT000340430	chr8	52110410:52113338,52116275:52116418,52118338:52118441,52126052:52126140,52131958:52132179,52133057:52133137,52133239:52133301,52136590:52136658,52137421:52137483,52142930:52143045,52149732:52149977,52158898:52159109,52161375:52161568,52163986:52164090,52165135:52165225,52166852:52166986,52171792:52172583,52180122:52180312,52212079:52212109,52214203:52214257,52217746:52217901,52220741:52220848,52221640:52221793,52230032:52230077,52246586:52246664,52254250:52254348	-
ENSG00000147488.13_TALONT000340445	chr8	52110838:52113338,52116275:52116418,52118338:52118441,52126052:52126140,52131958:52132179,52133057:52133137,52133239:52133301,52136590:52136658,52137421:52137483,52142930:52143045,52149732:52149977,52158898:52159109,52161375:52161568,52163986:52164090,52165135:52165225,52166852:52166986,52171792:52172583,52180122:52180312,52212079:52212109,52214203:52214257,52220741:52220848,52221640:52221793,52230032:52230077,52409328:52409452,52409682:52409805	-
ENSG00000147488.13_TALONT000340475	chr8	52110838:52113338,52116275:52116418,52118338:52118441,52126052:52126140,52131958:52132179,52133057:52133137,52133239:52133301,52136590:52136658,52137421:52137483,52142930:52143045,52149732:52149977,52158898:52159109,52161375:52161568,52163986:52164090,52165135:52165225,52166852:52166986,52171792:52172583,52180122:52180312,52212079:52212109,52214203:52214257,52217746:52217901,52220741:52220848,52221640:52221793,52230032:52230077,52254250:52254348	-
ENSG00000147488.13_ENST00000520716.1	chr8	52407665:52407916,52409328:52409452,52409682:52409879	-
ENSG00000076554.16_ENST00000379096.9	chr8	80034745:80038235,80042620:80042668,80051527:80051628,80053282:80053430,80064478:80064593,80171425:80171558	-
ENSG00000076554.16_ENST00000518937.6	chr8	80034745:80038235,80042620:80042668,80044167:80044208,80050445:80050471,80051527:80051628,80053282:80053430,80064478:80064593,80171425:80171564	-
ENSG00000076554.16_TALONT000341658	chr8	80034745:80038235,80042620:80042668,80044167:80044208,80051527:80051628,80053282:80053430,80064478:80064593,80171425:80171564	-
ENSG00000165092.13_ENST00000297785.8	chr9	72900671:72901280,72905958:72906032,72909602:72909759,72911958:72912122,72916920:72917104,72918720:72918822,72924019:72924132,72925484:72925612,72927116:72927177,72928892:72929021,72930879:72931019,72940148:72940252,72952935:72953053	-
ENSG00000165092.13_TALONT000347262	chr9	72900671:72901280,72905958:72906032,72909602:72909759,72911958:72912122,72916920:72917104,72918720:72918822,72924019:72924132,72925484:72925612,72927116:72927177,72928892:72929021,72930879:72931019,72940148:72940252,73080367:73080442	-
ENSG00000148123.15_ENST00000374874.8	chr9	101028727:101029102,101185450:101185557,101269880:101270068,101286104:101286236,101309211:101309461,101312798:101312974,101317365:101317496,101324025:101325135	+
ENSG00000148123.15_TALONT000349166	chr9	101269802:101270068,101286104:101286236,101309211:101309461,101312798:101312974,101317365:101317496,101324025:101325135	+
ENSG00000148218.16_ENST00000409155.8	chr9	113386312:113388361,113388977:113389106,113389438:113389524,113389599:113389686,113389773:113389828,113390405:113390493,113390593:113390676,113390798:113390933,113391527:113391623,113392119:113392169,113393447:113393634,113401212:113401284	-
ENSG00000148218.16_TALONT000350137	chr9	113386312:113388361,113388977:113389106,113389438:113389524,113389599:113389686,113389773:113389828,113390405:113390493,113390593:113390933,113391527:113391623,113392119:113392335,113393447:113393634,113401212:113401284	-
ENSG00000185736.16_ENST00000381310.7	chr10	1182134:1183369,1184861:1185039,1199966:1200360	-
ENSG00000185736.16_ENST00000469464.1	chr10	1215676:1217119,1233694:1233845,1240386:1240530	-
ENSG00000095564.15_ENST00000265990.12	chr10	91923770:91924090,91935657:91935780,91939952:91940066,91942422:91942568,91951403:91951566,91953737:91953873,91956528:91956657,91957225:91957293,91959065:91959154,91959785:91959880,91959978:91960154,91962538:91962678,91964077:91964201,91966637:91966757,91980454:91980558,91981643:91981792,91982083:91982225,91982587:91982761,91984201:91984404,91989154:91989580,91992119:91992309,91993694:91993847,91994535:91994644,91996369:91996570,91997603:91997751,92008123:92008275,92008829:92008950,92009041:92009208,92011073:92011150,92011286:92011415,92013667:92013808,92013899:92014029,92016340:92016465,92018783:92018935,92024756:92024967,92026592:92026751,92027130:92027300,92028790:92031437	+
ENSG00000095564.15_TALONT000358829	chr10	91923770:91924090,91935657:91935780,91939952:91940066,91942422:91942568,91951403:91951566,91953737:91953873,91956528:91956657,91957225:91957293,91959065:91959282,91959785:91959880,91959978:91960154,91962538:91962678,91964077:91964201,91966637:91966757,91980454:91980558,91981643:91981792,91982083:91982225,91982587:91982761,91984201:91984404,91989154:91989395	+
ENSG00000166313.20_ENST00000526240.5	chr11	6395125:6395701,6395786:6395962,6396100:6396574	-
ENSG00000166313.20_ENST00000299402.10	chr11	6395125:6395701,6395786:6395962,6396100:6396215,6400989:6401072,6401345:6401429,6401574:6401688,6402082:6402209,6402576:6402725,6403145:6403208,6403319:6403404,6403488:6403544,6403647:6403822,6410627:6411361,6418985:6419070	-
ENSG00000176102.13_ENST00000323959.9	chr11	33084584:33085289,33085713:33085773,33085895:33085989,33086988:33087141,33090532:33090727,33092271:33092340,33096306:33096408,33096835:33096978,33098690:33098764,33099034:33099150,33099608:33099717,33102177:33102339,33103107:33103184,33105567:33105693,33105883:33105917,33105998:33106064,33107903:33108000,33108386:33108418,33141667:33141762,33141885:33141986,33161299:33161480	-
ENSG00000176102.13_ENST00000431742.2	chr11	33141465:33141986,33161299:33161491	-
ENSG00000174080.12_ENST00000678294.1	chr11	66563464:66564007,66564088:66564648,66564742:66564806,66564887:66565006,66565671:66565751,66565831:66565927,66566022:66566167,66566291:66566404,66567246:66567321,66567444:66567662,66567984:66568082,66568274:66568602	-
ENSG00000174080.12_ENST00000310325.10	chr11	66563464:66564007,66564088:66564146,66564558:66564648,66564742:66564806,66564887:66565006,66565671:66565751,66565831:66565927,66566022:66566167,66566291:66566404,66567246:66567321,66567444:66567662,66567984:66568082,66568274:66568606	-
ENSG00000085733.16_ENST00000346329.7	chr11	70398404:70398614,70405265:70405361,70407298:70407384,70407518:70407591,70409831:70409960,70414542:70414652,70415663:70415717,70417013:70417123,70419746:70419856,70420400:70420510,70422940:70422995,70425332:70425401,70429051:70429199,70431191:70431280,70433101:70433278,70433647:70433718,70435026:70436584	+
ENSG00000085733.16_ENST00000301843.13	chr11	70398529:70398614,70405265:70405361,70407298:70407384,70407518:70407591,70409831:70409960,70414542:70414652,70415663:70415717,70417013:70417123,70419746:70419856,70420400:70420510,70421470:70421580,70422940:70422995,70425332:70425401,70429051:70429199,70431191:70431280,70433101:70433278,70433647:70433718,70435026:70436575	+
ENSG00000150764.14_ENST00000528399.1	chr11	111937420:111937559,111964549:111964678,111968513:111968638,111974023:111974367	+
ENSG00000150764.14_ENST00000615255.1	chr11	111977309:111977794,111980737:111980849,111982339:111982487,111985232:111985321,111986871:111986924,111989005:111989055,111992415:111992519,111992951:111993004,111993496:111993588,111993669:111993740,111995019:111995108,111995403:111995564,111996080:111996146,112016691:112016796,112017777:112017885,112018956:112021979	+
ENSG00000137726.17_ENST00000526014.6	chr11	117836981:117838277,117839781:117839830,117840319:117840368,117841148:117841184,117841791:117841865,117841990:117842028,117842719:117842781,117876592:117876658	-
