No	SampleID
158	cg00491430
159	cg04192740
160	cg01413582
161	cg16721177
162	cg13242768
163	cg11891591
164	cg11774346
165	cg19552574
166	cg07751528
167	cg21289738
168	cg13687797
169	cg27467953
170	cg11998200
171	cg04543124
172	cg15586601
173	cg15809959
174	cg04899990
175	cg19517686
176	cg03534208
177	cg08210627
178	cg02016764
179	cg21732792
180	cg27574877
181	cg17817532
182	cg15589641
183	cg12764466
184	cg07913923
185	cg16129785
186	cg12493116
187	cg21504064
188	cg24671734
189	cg14340336
190	cg05740578
191	cg19559506
192	cg21899942
193	cg15302534
194	cg16644418
195	cg21752469
196	cg16961420
197	cg09937039
198	cg21211311
199	cg27089703
200	cg06729997
201	cg21650953
202	cg03008911
203	cg13320202
204	cg11154050
205	cg05038866
206	cg12611448
207	cg18298997
208	cg04629862
209	cg13978095
210	cg02629702
211	cg10853552
212	cg20586169
213	cg02156356
214	cg22333165
215	cg11715256
216	cg13795063
217	cg17843212
218	cg21519973
219	cg12729253
220	cg11439535
221	cg26767739
222	cg25646005
223	cg14334389
224	cg00743041
225	cg20668952
226	cg07120254
227	cg17921924
228	cg05239310
229	cg02311864
230	cg07311956
231	cg19256331
232	cg24944092
233	cg24889134
234	cg17723604
235	cg10425861
236	cg14221345
237	cg05209483
238	cg13083110
239	cg02437068
240	cg15404483
241	cg01894747
242	cg22051170
243	cg13928759
244	cg26040401
245	cg02765998
246	cg23945168
247	cg27486742
248	cg07672908
249	cg11134437
250	cg10136885
251	cg15272611
252	cg00105154
253	cg03048622
254	cg26681488
255	cg27514608
256	cg15101623
257	cg17788475
258	cg23799226
259	cg10526087
260	cg12778395
261	cg05264148
262	cg08341791
263	cg02476628
264	cg00539581
265	cg11619961
266	cg02225040
267	cg24666096
268	cg11623216
269	cg13323164
270	cg05286665
271	cg10667970
272	cg05825703
273	cg03243118
274	cg10399764
275	cg12093060
276	cg16856285
277	cg15010554
278	cg20749932
279	cg06183333
280	cg26115228
281	cg06199972
282	cg11761020
283	cg27633865
284	cg25439774
285	cg05091570
286	cg02988811
287	cg26723002
288	cg00646813
289	cg04346701
290	cg07995570
291	cg19726225
292	cg01190484
293	cg01298374
294	cg08189968
295	cg15760302
296	cg12280847
297	cg00949014
298	cg27152312
299	cg26648103
300	cg10785368
301	cg00294552
302	cg02074792
303	cg18069705
304	cg23224396
305	cg21511941
306	cg23079386
307	cg05898193
308	cg26401541
309	cg12042952
310	cg23400122
311	cg25539979
312	cg13015245
313	cg10944747
314	cg01244520
315	cg23905519
316	cg21748549
317	cg05033239
318	cg07251046
319	cg00776091
320	cg17284127
321	cg24681208
322	cg27446094
323	cg21235438
324	cg08632504
325	cg20400639
326	cg21425658
327	cg11236289
328	cg18434538
329	cg02675973
330	cg25398183
331	cg08574993
332	cg15996456
333	cg11408305
334	cg11267040
335	cg05887508
336	cg08371140
337	cg19950114
338	cg27463141
339	cg01029568
340	cg02117185
341	cg19249420
342	cg07127456
343	cg11961618
344	cg10449466
345	cg17803418
346	cg10156217
347	cg11370259
348	cg26334209
349	cg13406590
350	cg02493508
351	cg04163638
352	cg11944186
353	cg14458500
354	cg22965432
355	cg02845591
356	cg16636146
357	cg26374686
358	cg17552686
359	cg10298567
360	cg18443771
361	cg19765377
362	cg16747164
363	cg19996026
364	cg23108931
365	cg20379170
366	cg06625872
367	cg04847478
368	cg17341672
369	cg15321357
370	cg16743582
371	cg17003212
372	cg04014686
373	cg26013712
374	cg18313416
375	cg16626954
376	cg08155109
377	cg06455826
378	cg20832705
379	cg13943731
380	cg00134602
381	cg18041815
382	cg09829560
383	cg24718386
384	cg09039287
385	cg23751035
386	cg02471676
387	cg08461765
388	cg10663897
389	cg02093266
390	cg16871298
391	cg08387463
392	cg03110715
393	cg19213407
394	cg24039081
395	cg09515098
396	cg05784996
397	cg21594702
398	cg02546833
399	cg22748819
400	cg06943467
401	cg10528407
402	cg02727334
403	cg04951797
404	cg09527362
405	cg25401200
406	cg21178389
407	cg26276117
408	cg02140727
409	cg14077913
410	cg17622526
411	cg14323173
412	cg21947254
413	cg09381737
414	cg22149546
415	cg04167471
416	cg26429069
417	cg26617335
418	cg01415937
419	cg08506931
420	cg06388099
421	cg10090393
422	cg13489499
423	cg17301216
424	cg04809692
425	cg13818762
426	cg11075693
427	cg20630456
428	cg02650522
429	cg20957317
430	cg19914919
431	cg19192652
432	cg17918556
433	cg03192551
434	cg00508965
435	cg10189324
436	cg13609319
437	cg14777214
438	cg07938480
439	cg05429895
440	cg22198603
441	cg21374459
442	cg02297838
443	cg22285017
444	cg07782634
445	cg04940204
446	cg21282997
447	cg26974214
448	cg20204745
449	cg10041416
450	cg04483304
451	cg04070685
452	cg18693959
453	cg08282819
454	cg24373619
455	cg18913699
456	cg05968174
457	cg12072178
458	cg18562130
459	cg11791726
460	cg22730029
461	cg07884735
462	cg09969478
463	cg07177559
464	cg18674871
465	cg17326095
466	cg26716103
467	cg08104501
468	cg25147804
469	cg08392500
470	cg20866759
471	cg14029912
472	cg04270347
473	cg08930719
474	cg06270148
475	cg17837492
476	cg27490143
477	cg13763876
478	cg19328057
479	cg24627299
480	cg04225368
481	cg10051539
482	cg06098215
483	cg25343906
484	cg22579075
485	cg17464087
486	cg03398361
487	cg13551453
488	cg25818338
489	cg04134539
490	cg22653139
491	cg18024479
492	cg00116219
493	cg09326204
494	cg15951742
495	cg05377931
496	cg00804392
497	cg26547750
498	cg14358262
499	cg24626463
500	cg11697712
501	cg04679996
502	cg05507848
503	cg19533294
504	cg26545732
505	cg26023087
506	cg21329936
507	cg24630957
508	cg03326912
509	cg00332070
510	cg02056921
511	cg15484167
512	cg11907262
513	cg04684206
514	cg21941341
515	cg08846327
516	cg15240102
517	cg23760734
518	cg26390598
519	cg04889100
520	cg20594304
521	cg20041088
522	cg07381582
523	cg21832150
524	cg02432866
525	cg07657920
526	cg15096515
527	cg05999993
528	cg10470891
529	cg25329021
530	cg08171483
531	cg00556757
532	cg00959922
533	cg07700233
534	cg24500487
535	cg19564029
536	cg02967969
537	cg22343321
538	cg03090940
539	cg13420075
540	cg01683757
541	cg12465817
542	cg22015766
543	cg21544100
544	cg03237393
545	cg09639236
546	cg08132200
547	cg26495703
548	cg09365147
549	cg15756420
550	cg27033919
551	cg02003457
552	cg11935248
553	cg13841633
554	cg08210399
555	cg07086112
556	cg00200755
557	cg05152772
558	cg08864697
559	cg11603365
560	cg08445740
561	cg03721890
562	cg18980371
563	cg22350212
564	cg03359071
565	cg11586960
566	cg02321197
567	cg21392322
568	cg21116474
569	cg24388008
570	cg01706940
571	cg23369110
572	cg27338366
573	cg00182204
574	cg09455369
575	cg22441199
576	cg00170483
577	cg06372633
578	cg17738628
579	cg00202176
580	cg14224273
581	cg00472243
582	cg24999588
583	cg19071452
584	cg00327939
585	cg00031042
586	cg01338955
587	cg00582231
588	cg22548304
589	cg10060338
590	cg23979983
591	cg01942558
592	cg13816833
593	cg02290834
594	cg18448689
595	cg04554381
596	cg05673346
597	cg13318181
598	cg20822579
599	cg22306507
600	cg12591315
601	cg21513384
602	cg01926291
603	cg10095801
604	cg06378669
605	cg10327067
606	cg03648784
607	cg25313930
608	cg18409646
609	cg22031679
610	cg25635565
611	cg01909070
612	cg13877315
613	cg19807521
614	cg06311386
615	cg05018899
616	cg17501566
617	cg13481379
618	cg06603943
619	cg14952949
620	cg05345310
621	cg24291500
622	cg21238633
623	cg03545443
624	cg08714135
625	cg06941527
626	cg15338388
627	cg13289884
628	cg22499994
629	cg07463206
630	cg15202304
631	cg18548387
632	cg24010100
633	cg26928858
634	cg06584784
635	cg08906371
636	cg11175334
637	cg15742063
638	cg14218167
639	cg02905828
640	cg06881120
641	cg01300729
642	cg25563892
643	cg14189106
644	cg10566800
645	cg00398767
646	cg17208270
647	cg10068793
648	cg16767220
649	cg02485328
650	cg18771050
651	cg16967668
652	cg10106388
653	cg27301756
654	cg06097309
655	cg22981736
656	cg15708696
657	cg19476303
658	cg01717136
659	cg08246644
660	cg11090202
661	cg15162179
662	cg20086219
663	cg24258104
664	cg21491246
665	cg25414654
666	cg22483165
667	cg01808879
668	cg17127235
669	cg19261068
670	cg23712401
671	cg08397993
672	cg22063680
673	cg14240353
674	cg02551743
675	cg27264329
676	cg25017774
677	cg09785144
678	cg05224671
679	cg27510539
680	cg26181727
681	cg15018592
682	cg20711129
683	cg03714522
684	cg26500804
685	cg20262120
686	cg03297783
687	cg26543112
688	cg02207200
689	cg20411884
690	cg17172789
691	cg19995932
692	cg06224301
693	cg04353131
694	cg09107053
695	cg25043129
696	cg04145264
697	cg17176423
698	cg03182546
699	cg01392656
700	cg26168154
701	cg19900989
702	cg05781504
703	cg02922660
704	cg27295118
705	cg22107525
706	cg23643343
707	cg00366685
708	cg24070512
709	cg22141067
710	cg08344447
711	cg07318128
712	cg14119033
713	cg18048027
714	cg09896544
715	cg26817416
716	cg17476320
717	cg13690122
718	cg03245497
719	cg14591979
720	cg02718825
721	cg03423916
722	cg26080296
723	cg10466548
724	cg17283083
725	cg04396251
726	cg17295864
727	cg06218972
728	cg00075587
729	cg26251629
730	cg06677690
731	cg24064266
732	cg09119677
733	cg04694633
734	cg04286826
735	cg17794776
736	cg19605950
737	cg14703975
738	cg01794555
739	cg00323457
740	cg24043730
741	cg20007596
742	cg19145477
743	cg16490336
744	cg17024345
745	cg07081725
746	cg20038493
747	cg16325502
748	cg13463459
749	cg17671280
750	cg08545598
751	cg21222743
752	cg26406558
753	cg01094172
754	cg20410114
755	cg03018256
756	cg01274809
757	cg07574267
758	cg07257505
759	cg03741862
760	cg06975639
761	cg12640402
762	cg01743875
763	cg09171581
764	cg13687834
765	cg07495664
766	cg15796536
767	cg15633390
768	cg11314292
769	cg08492992
770	cg06431483
771	cg13344345
772	cg14646893
773	cg07381989
774	cg21226992
775	cg23147926
776	cg23482132
777	cg23046919
778	cg10531975
779	cg24627325
780	cg04974499
781	cg25425189
782	cg15496718
783	cg13675389
784	cg09304470
785	cg12963736
786	cg16247844
787	cg16905265
788	cg25040418
789	cg25338474
790	cg01980311
791	cg25408314
792	cg01863226
793	cg08457620
794	cg26711732
795	cg24770408
796	cg09227556
797	cg00207392
798	cg16220931
799	cg13953687
800	cg02273922
801	cg06229048
802	cg07153588
803	cg26194477
804	cg11864866
805	cg15284809
806	cg24094469
807	cg12591460
808	cg27046536
809	cg13959241
810	cg19684982
811	cg15239532
812	cg07768107
813	cg08439659
814	cg15791413
815	cg19238349
816	cg07429146
817	cg16440984
818	cg15854602
819	cg23533683
820	cg25973282
821	cg00594952
822	cg05173571
823	cg09413116
824	cg05922752
825	cg18631301
826	cg19661478
827	cg10305603
828	cg19107977
829	cg18435133
830	cg15112223
831	cg17019292
832	cg21256713
833	cg21529539
834	cg22266348
835	cg03837909
836	cg19219933
837	cg26818165
838	cg26619956
839	cg15608680
840	cg10050262
841	cg04177697
842	cg02861178
843	cg19034489
844	cg15900979
845	cg25950293
846	cg27473554
847	cg13530039
848	cg12416561
849	cg03612633
850	cg07268332
851	cg19237150
852	cg21171831
853	cg04807106
854	cg19746896
855	cg08531898
856	cg25594307
857	cg26030944
858	cg02159327
859	cg25449207
860	cg12743165
861	cg20928238
862	cg16117037
863	cg11516161
864	cg10431604
865	cg21509105
866	cg03620269
867	cg10862567
868	cg01515543
869	cg00484111
870	cg16023936
871	cg27438819
872	cg09682608
873	cg13710810
874	cg12915526
875	cg05614451
876	cg18403361
877	cg26005086
878	cg26109199
879	cg06411730
880	cg00411716
881	cg24759562
882	cg12163532
883	cg06238395
884	cg04139747
885	cg25443545
886	cg03571711
887	cg17370349
888	cg10856488
889	cg02404256
890	cg17418196
891	cg19343756
892	cg21828951
893	cg23478302
894	cg14558793
895	cg26536894
896	cg01243879
897	cg18383835
898	cg21643939
899	cg05444038
900	cg20323874
901	cg05128056
902	cg24726661
903	cg05482463
904	cg08956138
905	cg20789941
906	cg04770550
907	cg19779965
908	cg14482991
909	cg14640149
910	cg02360173
911	cg02223783
912	cg17833037
913	cg11687897
914	cg23494847
915	cg10096040
916	cg25091527
917	cg13373757
918	cg01365172
919	cg02309006
920	cg09192159
921	cg19349092
922	cg06561366
923	cg20955757
924	cg19694418
925	cg03688437
926	cg15564947
927	cg16787017
928	cg20361475
929	cg02377915
930	cg22601762
931	cg17222682
932	cg07780180
933	cg11013011
934	cg10965131
935	cg13947866
936	cg10275695
937	cg16377117
938	cg18543428
939	cg25676195
940	cg04151444
941	cg05038156
942	cg12149606
943	cg03647607
944	cg18795525
945	cg08339192
946	cg03706109
947	cg12378111
948	cg06485706
949	cg11118801
950	cg12782788
951	cg15217778
952	cg02085942
953	cg20653128
954	cg09842946
955	cg18833386
956	cg08824291
957	cg03646564
958	cg03208902
959	cg21822173
960	cg01886784
961	cg25028855
962	cg23621463
963	cg12477050
964	cg10553890
965	cg27312406
966	cg05298510
967	cg04311134
968	cg04183873
969	cg18989489
970	cg15437053
971	cg06961237
972	cg07061387
973	cg03636383
974	cg08696071
975	cg16951873
976	cg13770569
977	cg03213236
978	cg14964970
979	cg26301185
980	cg20966404
981	cg16825906
982	cg24875899
983	cg16661414
984	cg14126608
985	cg19441901
986	cg02739280
987	cg08881516
988	cg01005535
989	cg17876197
990	cg00664222
991	cg20471562
992	cg20345125
993	cg19992511
994	cg15132385
995	cg07903036
996	cg22330213
997	cg25920545
998	cg11127021
999	cg00317325
1000	cg12301283
1001	cg23700440
1002	cg27203983
1003	cg11122641
1004	cg13122356
1005	cg18350893
1006	cg27431808
1007	cg00626624
1008	cg03724006
1009	cg05600126
1010	cg09219688
1011	cg17657854
1012	cg04531297
1013	cg13152779
1014	cg27455640
1015	cg01926777
1016	cg09238677
1017	cg05577920
1018	cg24985035
1019	cg20400693
1020	cg12167548
1021	cg21456939
1022	cg00994306
1023	cg08072952
1024	cg06121793
1025	cg25991736
1026	cg14075595
1027	cg12279138
1028	cg07418215
1029	cg27368039
1030	cg09884706
1031	cg03462252
1032	cg09294739
1033	cg21617903
1034	cg04394003
1035	cg09018718
1036	cg07319528
1037	cg17643692
1038	cg17670641
1039	cg08538070
1040	cg19395032
1041	cg15140902
1042	cg08140751
1043	cg19274629
1044	cg24283921
1045	cg27625456
1046	cg08981537
1047	cg15703377
1048	cg12832011
1049	cg00784105
1050	cg17817196
1051	cg27139776
1052	cg12543138
1053	cg22567670
1054	cg08981957
1055	cg10009464
1056	cg02124957
1057	cg10614217
1058	cg22163037
1059	cg09959196
1060	cg15896084
1061	cg02419922
1062	cg18576374
1063	cg15746620
1064	cg18564052
1065	cg17421626
1066	cg12220605
1067	cg21902807
1068	cg11572924
1069	cg24316108
1070	cg18984127
1071	cg02104700
1072	cg05789595
1073	cg03308899
1074	cg06290904
1075	cg21689664
1076	cg23009254
1077	cg09119854
1078	cg08468677
1079	cg17834768
1080	cg13302386
1081	cg25605120
1082	cg16662370
1083	cg12976141
1084	cg08761208
1085	cg18831550
1086	cg21500970
1087	cg20648272
1088	cg25485801
1089	cg06243115
1090	cg06689049
1091	cg09335331
1092	cg26551865
1093	cg20017537
1094	cg18092219
1095	cg20400838
1096	cg13108681
1097	cg25503044
1098	cg08686960
1099	cg15268405
1100	cg03437887
1101	cg00806644
1102	cg02159381
1103	cg06688910
1104	cg08439109
1105	cg25662948
1106	cg16223546
1107	cg08186708
1108	cg25392526
1109	cg10366868
1110	cg01606023
1111	cg18704595
1112	cg07143919
1113	cg20899625
1114	cg07638358
1115	cg09873284
1116	cg23904595
1117	cg26904832
1118	cg17476701
1119	cg26748440
1120	cg12683236
1121	cg16478254
1122	cg18924222
1123	cg06613452
1124	cg11247674
1125	cg18561589
1126	cg27626361
1127	cg10669219
1128	cg00830492
1129	cg20821442
1130	cg17014920
1131	cg00953399
1132	cg06899551
1133	cg11837267
1134	cg09257390
1135	cg08202720
1136	cg03489181
1137	cg24805681
1138	cg07730193
1139	cg01738198
1140	cg24007583
1141	cg17318853
1142	cg17075758
1143	cg07584692
1144	cg09276451
1145	cg15450098
1146	cg13785898
1147	cg20279003
1148	cg23178186
1149	cg20890989
1150	cg06190732
1151	cg05372407
1152	cg05857643
1153	cg22325145
1154	cg04512268
1155	cg20364632
1156	cg15070041
1157	cg07915282
1158	cg00916730
1159	cg01895882
1160	cg10717472
1161	cg15066217
1162	cg21890820
1163	cg02450981
1164	cg13696436
1165	cg04666830
1166	cg22200744
1167	cg25495921
1168	cg06803406
1169	cg20271698
1170	cg23994309
1171	cg04030971
1172	cg21962324
1173	cg17069347
1174	cg05651282
1175	cg08840504
1176	cg09814039
1177	cg13381110
1178	cg20392842
1179	cg11841710
1180	cg17343167
1181	cg08076018
1182	cg15231687
1183	cg14963724
1184	cg27363247
1185	cg22934315
1186	cg14564369
1187	cg19966540
1188	cg16901123
1189	cg04430582
1190	cg19053792
1191	cg16044211
1192	cg15799461
1193	cg01244015
1194	cg02124892
1195	cg03961400
1196	cg27004870
1197	cg27240207
1198	cg20321281
1199	cg27661950
1200	cg21205972
1201	cg14192174
1202	cg16234027
1203	cg03226203
1204	cg23229016
1205	cg01844235
1206	cg15257756
1207	cg12449146
1208	cg21270083
1209	cg04005344
1210	cg11903057
1211	cg16828484
1212	cg07398661
1213	cg11245181
1214	cg23471522
1215	cg03527501
1216	cg01399856
1217	cg15176487
1218	cg17341404
1219	cg06869032
1220	cg12030632
1221	cg22524787
1222	cg02567488
1223	cg03240117
1224	cg19677281
1225	cg12908797
1226	cg24698979
1227	cg20636105
1228	cg04399632
1229	cg13836957
1230	cg08820016
1231	cg21120678
1232	cg05202300
1233	cg17964844
1234	cg17812972
1235	cg14292676
1236	cg02015004
1237	cg12108143
1238	cg01473525
1239	cg09181738
1240	cg12962263
1241	cg13108869
1242	cg15758178
1243	cg09935643
1244	cg11253062
1245	cg18831304
1246	cg08627527
1247	cg20041415
1248	cg22251569
1249	cg15453986
1250	cg24807339
1251	cg06998965
1252	cg01493956
1253	cg00405484
1254	cg21603744
1255	cg00574349
1256	cg05004880
1257	cg19797558
1258	cg26818340
1259	cg05143735
1260	cg15220530
1261	cg12025914
1262	cg12381983
1263	cg14893034
1264	cg26613105
1265	cg21268578
1266	cg17174023
1267	cg00643051
1268	cg21184700
1269	cg15066323
1270	cg11109906
1271	cg19820052
1272	cg17506280
1273	cg09995320
1274	cg01627483
1275	cg06616661
1276	cg22876739
1277	cg19307003
1278	cg19532775
1279	cg11698882
1280	cg12955011
1281	cg26052635
1282	cg21975400
1283	cg04707845
1284	cg19723657
1285	cg24499866
1286	cg06425183
1287	cg02941135
1288	cg03766513
1289	cg12472597
1290	cg18700013
1291	cg11505417
1292	cg21544790
1293	cg00442390
1294	cg25571136
1295	cg27342489
1296	cg24693227
1297	cg14000826
1298	cg02779075
1299	cg07919456
1300	cg02878216
1301	cg03017653
1302	cg11457651
1303	cg21374048
1304	cg00566858
1305	cg23575319
1306	cg08110693
1307	cg04329455
1308	cg13462398
1309	cg07776734
1310	cg16508202
1311	cg10018294
1312	cg19923048
1313	cg26855308
1314	cg21768610
1315	cg23121049
1316	cg10348941
1317	cg18758130
1318	cg22475217
1319	cg14471200
1320	cg15216807
1321	cg16461427
1322	cg17376114
1323	cg04749104
1324	cg09129925
1325	cg23668476
1326	cg22539450
1327	cg04673873
1328	cg12764532
1329	cg10402936
1330	cg25254579
1331	cg14401623
1332	cg04971836
1333	cg04542977
1334	cg12964935
1335	cg02865832
1336	cg02802590
1337	cg27064928
1338	cg08848776
1339	cg11081690
1340	cg23662142
1341	cg00237398
1342	cg12485783
1343	cg16977411
1344	cg02549628
1345	cg26842310
1346	cg26886202
1347	cg18137040
1348	cg21380183
1349	cg06134956
1350	cg25885607
1351	cg05741638
1352	cg13342844
1353	cg12101498
1354	cg27536559
1355	cg15811468
1356	cg11379205
1357	cg10146423
1358	cg15334431
1359	cg09161832
1360	cg08762410
1361	cg25804542
1362	cg09263541
1363	cg02084087
1364	cg01943641
1365	cg16561973
1366	cg04473653
1367	cg04268401
1368	cg14621217
1369	cg16143491
1370	cg23535784
1371	cg06489390
1372	cg06986263
1373	cg26597727
1374	cg07884444
1375	cg03635787
1376	cg02931263
1377	cg14050053
1378	cg01206705
1379	cg16000111
1380	cg27145096
1381	cg19013329
1382	cg00379649
1383	cg13376120
1384	cg23471446
1385	cg17413439
1386	cg21029190
1387	cg13988412
1388	cg10565234
1389	cg14669114
1390	cg25728350
1391	cg04488271
1392	cg02387879
1393	cg07577824
1394	cg00881344
1395	cg05305078
1396	cg20458811
1397	cg10255535
1398	cg03426023
1399	cg22242193
1400	cg18538579
1401	cg16914866
1402	cg26621088
1403	cg23956771
1404	cg06498232
1405	cg26202142
1406	cg06399407
1407	cg14167109
1408	cg01170806
1409	cg02510861
1410	cg06037661
1411	cg10573236
1412	cg18898498
1413	cg09380122
1414	cg12141497
1415	cg12208392
1416	cg20011788
1417	cg23547891
1418	cg19876079
1419	cg27537048
1420	cg19743103
1421	cg00160505
1422	cg04898610
1423	cg26281470
1424	cg21314578
1425	cg05347673
1426	cg23028740
1427	cg08290076
1428	cg10084554
1429	cg06294475
1430	cg00924265
1431	cg10994914
1432	cg05935311
1433	cg25211934
1434	cg20163033
1435	cg24168469
1436	cg03298992
1437	cg24652018
1438	cg25076892
1439	cg11265696
1440	cg27383544
1441	cg19555661
1442	cg12363726
1443	cg05642964
1444	cg08131499
1445	cg04030992
1446	cg18092542
1447	cg12318332
1448	cg14594608
1449	cg07001793
1450	cg07187971
1451	cg03151025
1452	cg07857469
1453	cg18913890
1454	cg25181144
1455	cg21192606
1456	cg16959387
1457	cg23554732
1458	cg18215153
1459	cg27518277
1460	cg06691520
1461	cg01119090
1462	cg02794319
1463	cg02773380
1464	cg09571233
1465	cg14154082
1466	cg14087715
1467	cg24328079
1468	cg21954890
1469	cg05248807
1470	cg11322877
1471	cg10423052
1472	cg12625340
1473	cg11780295
1474	cg24851858
1475	cg00067758
1476	cg21257883
1477	cg23352146
1478	cg00060132
1479	cg09826622
1480	cg00531748
1481	cg23238869
1482	cg02837120
1483	cg18618429
1484	cg06789500
1485	cg12308279
1486	cg18467189
1487	cg15002672
1488	cg01988325
1489	cg10996258
1490	cg15158847
1491	cg19013695
1492	cg21541159
1493	cg26985119
1494	cg21757951
1495	cg02133557
1496	cg14645898
1497	cg09099500
1498	cg17582558
1499	cg20095173
1500	cg03960331
1501	cg24614332
1502	cg00666014
1503	cg04751149
1504	cg25194164
1505	cg10718066
1506	cg07442408
1507	cg21941262
1508	cg10187421
1509	cg11549065
1510	cg05778847
1511	cg24024783
1512	cg22303074
1513	cg01859312
1514	cg19723805
1515	cg19743168
1516	cg06759819
1517	cg07833779
1518	cg23996881
1519	cg09444531
1520	cg26318111
1521	cg11166877
1522	cg00971789
1523	cg17371404
1524	cg12359904
1525	cg26002686
1526	cg15972294
1527	cg02317055
1528	cg08121845
1529	cg16949001
1530	cg16760055
1531	cg04865976
1532	cg03839542
1533	cg22836191
1534	cg26895804
1535	cg21597570
1536	cg23067711
1537	cg08512745
1538	cg24786986
1539	cg09929369
1540	cg09063936
1541	cg20802868
1542	cg01678992
1543	cg17022914
1544	cg10931539
1545	cg20974817
1546	cg01593345
1547	cg20477294
1548	cg09692449
1549	cg07471157
1550	cg07967042
1551	cg12897991
1552	cg19464155
1553	cg26775123
1554	cg15819914
1555	cg15455178
1556	cg00589251
1557	cg02130107
1558	cg06111498
1559	cg02927252
1560	cg16236851
1561	cg07988891
1562	cg03609354
1563	cg17979824
1564	cg02087739
1565	cg24963077
1566	cg04839725
1567	cg08774881
1568	cg05572800
1569	cg18724928
1570	cg13643509
1571	cg04605299
1572	cg20716940
1573	cg24613601
1574	cg01617431
1575	cg20899271
1576	cg14675366
1577	cg06467866
1578	cg08027679
1579	cg01631816
1580	cg19699090
1581	cg04205744
1582	cg00399407
1583	cg13672743
1584	cg07209686
1585	cg00629585
1586	cg21099238
1587	cg24587727
1588	cg26563696
1589	cg10202902
1590	cg16471775
1591	cg03089475
1592	cg10025846
1593	cg20219053
1594	cg14251267
1595	cg01195907
1596	cg02990302
1597	cg04077025
1598	cg25828346
1599	cg03184070
1600	cg18710162
1601	cg16170708
1602	cg14515506
1603	cg13904131
1604	cg12103534
1605	cg19930444
1606	cg10494028
1607	cg26362436
1608	cg11712806
1609	cg23581088
1610	cg23251701
1611	cg06005133
1612	cg20703187
1613	cg20191066
1614	cg01795674
1615	cg23700882
1616	cg09689342
1617	cg10247374
1618	cg16803621
1619	cg09536652
1620	cg10567637
1621	cg03993922
1622	cg03410850
1623	cg16809138
1624	cg22143678
1625	cg13716585
1626	cg02031355
1627	cg21619813
1628	cg14664341
1629	cg05885012
1630	cg04327703
1631	cg23567583
1632	cg26893515
1633	cg20577360
1634	cg18645295
1635	cg16604801
1636	cg03619352
1637	cg22510091
1638	cg12859802
1639	cg09516448
1640	cg05181727
1641	cg18066181
1642	cg16633079
1643	cg20706495
1644	cg05929100
1645	cg26442516
1646	cg22678630
1647	cg08992954
1648	cg14406681
1649	cg20786794
1650	cg09488450
1651	cg20610511
1652	cg08380473
1653	cg03487391
1654	cg16051899
1655	cg15779899
1656	cg22764436
1657	cg25536787
1658	cg00634264
1659	cg01138305
1660	cg21110034
1661	cg20510423
1662	cg03141298
1663	cg09696535
1664	cg26515471
1665	cg12846656
