#count_fl: Number of associated FL reads
#norm_fl : count_fl / total number of FL reads supporting a mapped isoform
#Total Number of FL reads supporting a mapped isoform: 3458_test
pbid	count_fl	norm_fl
PB.10063.4	7	2.02E+02
PB.10063.6	6	1.74E+02
PB.10063.7	6	1.74E+02
PB.10063.8	8	2.31E+02
PB.10064.1	3	8.68E+01
PB.10064.10	8	2.31E+02
PB.10064.11	50	1.45E+03
PB.10064.2	4	1.16E+02
PB.10064.25	2	5.78E+01
PB.10064.28	13	3.76E+02
PB.10064.29	36	1.04E+03
PB.10064.32	5	1.45E+02
PB.10064.38	4	1.16E+02
PB.10064.41	2	5.78E+01
PB.10064.42	13	3.76E+02
PB.10064.45	10	2.89E+02
PB.10064.50	40	1.16E+03
PB.10066.1	15	4.34E+02
PB.10067.2	2	5.78E+01
PB.10067.3	8	2.31E+02
PB.10067.4	2	5.78E+01
PB.10067.5	7	2.02E+02
PB.10069.1	3	8.68E+01
PB.10070.1	3	8.68E+01
PB.10070.11	2	5.78E+01
PB.10070.12	6	1.74E+02
PB.10070.13	2	5.78E+01
PB.10070.15	7	2.02E+02
PB.10070.17	6	1.74E+02
PB.10070.18	6	1.74E+02
PB.10070.6	8	2.31E+02
PB.10071.24	3	8.68E+01
PB.10071.25	8	2.31E+02
PB.10071.26	50	1.45E+03
PB.10071.27	4	1.16E+02
PB.10072.10	2	5.78E+01
PB.10072.11	13	3.76E+02
PB.10072.16	36	1.04E+03
PB.10072.18	5	1.45E+02
PB.10072.5	10	2.89E+02
PB.10072.6	40	1.16E+03
PB.10072.7	15	4.34E+02
PB.10072.8	2	5.78E+01
PB.10073.1	8	2.31E+02
PB.10073.3	2	5.78E+01
PB.10076.14	7	2.02E+02
PB.10076.15	3	8.68E+01
PB.10076.20	3	8.68E+01
PB.10076.23	2	5.78E+01
PB.10076.41	6	1.74E+02
PB.10076.42	2	5.78E+01
PB.10076.43	7	2.02E+02
PB.10076.49	6	1.74E+02
PB.10076.5	6	1.74E+02
PB.10076.55	8	2.31E+02
PB.10076.56	3	8.68E+01
PB.10076.9	8	2.31E+02
PB.10080.2	50	1.45E+03
PB.10081.10	4	1.16E+02
PB.10081.11	2	5.78E+01
PB.10081.12	13	3.76E+02
PB.10081.14	36	1.04E+03
PB.10081.15	5	1.45E+02
PB.10081.16	10	2.89E+02
PB.10081.2	40	1.16E+03
PB.10081.3	15	4.34E+02
PB.10081.4	2	5.78E+01
PB.10081.6	8	2.31E+02
PB.10081.7	2	5.78E+01
PB.10081.8	7	2.02E+02
PB.10081.9	3	8.68E+01
PB.10083.3	3	8.68E+01
PB.10085.24	2	5.78E+01
PB.10086.13	6	1.74E+02
PB.10086.14	2	5.78E+01
PB.10086.8	7	2.02E+02
PB.10086.9	6	1.74E+02
PB.10088.2	6	1.74E+02
PB.10089.1	8	2.31E+02
PB.1009.5	3	8.68E+01
PB.10092.18	8	2.31E+02
PB.10092.28	50	1.45E+03
PB.10092.32	4	1.16E+02
PB.10092.79	2	5.78E+01
PB.10092.81	13	3.76E+02
PB.10092.9	36	1.04E+03
PB.10093.3	5	1.45E+02
PB.10094.1	2	5.78E+01
PB.10094.10	4	1.16E+02
PB.10094.11	2	5.78E+01
PB.10094.12	2	5.78E+01
PB.10094.13	6	1.74E+02
PB.10094.14	11	3.18E+02
PB.10094.15	8	2.31E+02
PB.10094.16	3	8.68E+01
PB.10094.17	4	1.16E+02
PB.10094.19	80	2.31E+03
PB.10094.20	4	1.16E+02
PB.10094.21	2	5.78E+01
PB.10094.3	13	3.76E+02
PB.10094.31	100	2.89E+03
PB.10094.32	5	1.45E+02
PB.10094.33	10	2.89E+02
PB.10094.4	20	5.78E+02
PB.10094.41	15	4.34E+02
PB.10094.5	2	5.78E+01
PB.10094.6	10	2.89E+02
PB.10094.7	40	1.16E+03
PB.10094.8	15	4.34E+02
PB.10094.9	2	5.78E+01
PB.10095.1	8	2.31E+02
PB.10095.2	2	5.78E+01
PB.10095.3	7	2.02E+02
PB.10096.1	3	8.68E+01
PB.101.1	3	8.68E+01
PB.10103.1	2	5.78E+01
PB.10113.10	6	1.74E+02
PB.10113.13	2	5.78E+01
PB.10113.17	7	2.02E+02
PB.10113.18	6	1.74E+02
PB.10113.2	6	1.74E+02
PB.10113.24	8	2.31E+02
PB.10113.4	3	8.68E+01
PB.10113.9	8	2.31E+02
PB.10122.1	50	1.45E+03
PB.10122.100	4	1.16E+02
PB.10122.11	2	5.78E+01
PB.10122.12	13	3.76E+02
PB.10122.13	36	1.04E+03
PB.10122.15	5	1.45E+02
PB.10122.16	8	2.31E+02
PB.10122.17	3	8.68E+01
PB.10122.178	10	2.89E+02
PB.10122.19	40	1.16E+03
PB.10122.21	15	4.34E+02
PB.10122.22	2	5.78E+01
PB.10122.23	8	2.31E+02
PB.10122.24	2	5.78E+01
PB.10122.25	7	2.02E+02
PB.10122.26	3	8.68E+01
PB.10122.27	3	8.68E+01
PB.10122.28	2	5.78E+01
PB.10122.3	6	1.74E+02
PB.10122.31	2	5.78E+01
PB.10122.32	7	2.02E+02
PB.10122.33	6	1.74E+02
PB.10122.34	6	1.74E+02
PB.10122.35	8	2.31E+02
PB.10122.36	3	8.68E+01
PB.10122.37	8	2.31E+02
PB.10122.38	50	1.45E+03
PB.10122.39	4	1.16E+02
PB.10122.40	2	5.78E+01
PB.10122.41	13	3.76E+02
PB.10122.42	36	1.04E+03
PB.10122.44	5	1.45E+02
PB.10122.48	4	1.16E+02
PB.10122.49	80	2.31E+03
PB.10122.5	4	1.16E+02
PB.10122.50	2	5.78E+01
PB.10122.52	13	3.76E+02
PB.10122.53	100	2.89E+03
PB.10122.54	5	1.45E+02
PB.10122.55	10	2.89E+02
PB.10122.56	20	5.78E+02
PB.10122.57	15	4.34E+02
PB.10122.6	2	5.78E+01
PB.10122.61	8	2.31E+02
PB.10122.8	10	2.89E+02
PB.10122.86	40	1.16E+03
PB.10122.9	15	4.34E+02
PB.10122.91	2	5.78E+01
PB.10122.92	8	2.31E+02
PB.10122.93	2	5.78E+01
PB.10125.1	7	2.02E+02
PB.10125.10	3	8.68E+01
PB.10125.11	3	8.68E+01
PB.10125.13	2	5.78E+01
PB.10125.14	6	1.74E+02
PB.10125.16	2	5.78E+01
PB.10125.17	7	2.02E+02
PB.10125.18	6	1.74E+02
PB.10125.23	6	1.74E+02
PB.10125.3	8	2.31E+02
PB.10125.55	3	8.68E+01
PB.10125.6	8	2.31E+02
PB.10125.7	50	1.45E+03
PB.10127.10	4	1.16E+02
PB.10127.11	2	5.78E+01
PB.10127.2	13	3.76E+02
PB.10127.3	36	1.04E+03
PB.10127.4	5	1.45E+02
PB.10127.7	3	8.68E+01
PB.10127.9	4	1.16E+02
PB.10128.10	80	2.31E+03
PB.10128.11	4	1.16E+02
PB.10128.12	10	2.89E+02
PB.10128.2	40	1.16E+03
PB.10128.3	15	4.34E+02
PB.10128.5	2	5.78E+01
PB.10128.6	8	2.31E+02
PB.10128.7	2	5.78E+01
PB.10128.8	7	2.02E+02
PB.10130.2	3	8.68E+01
PB.10130.3	3	8.68E+01
PB.10130.8	2	5.78E+01
PB.10131.1	6	1.74E+02
PB.10149.1	2	5.78E+01
PB.1015.10	7	2.02E+02
PB.1015.102	6	1.74E+02
PB.1015.103	6	1.74E+02
PB.1015.104	8	2.31E+02
PB.1015.105	3	8.68E+01
PB.1015.107	8	2.31E+02
PB.1015.109	50	1.45E+03
PB.1015.110	4	1.16E+02
PB.1015.12	2	5.78E+01
PB.1015.13	13	3.76E+02
PB.1015.14	36	1.04E+03
PB.1015.16	5	1.45E+02
PB.1015.18	2	5.78E+01
PB.1015.20	13	3.76E+02
PB.1015.21	100	2.89E+03
PB.1015.23	5	1.45E+02
PB.1015.24	10	2.89E+02
PB.1015.25	20	5.78E+02
PB.24756.3	15	4.34E+02
PB.24791.24	2	5.78E+01
PB.24807.13	8	2.31E+02
PB.24861.3	3	8.68E+01
PB.24882.10	7	2.02E+02
