#count_fl: Number of associated FL reads
#norm_fl : count_fl / total number of FL reads supporting a mapped isoform
#Total Number of FL reads supporting a mapped isoform: 4195_test
pbid	count_fl	norm_fl
PB.10122.16	10	2.38E+02
PB.10122.17	20	4.77E+02
PB.10122.178	15	3.58E+02
PB.10122.19	2	4.77E+01
PB.10122.21	8	1.91E+02
PB.10122.22	3	7.15E+01
PB.10122.23	7	1.67E+02
PB.10122.24	3	7.15E+01
PB.10122.25	3	7.15E+01
PB.10122.26	2	4.77E+01
PB.10122.27	4	9.54E+01
PB.10122.28	2	4.77E+01
PB.10122.3	2	4.77E+01
PB.10122.31	6	1.43E+02
PB.10122.32	11	2.62E+02
PB.10122.33	8	1.91E+02
PB.10122.34	3	7.15E+01
PB.10122.35	4	9.54E+01
PB.10122.36	80	1.91E+03
PB.10122.37	4	9.54E+01
PB.10122.38	2	4.77E+01
PB.10122.39	13	3.10E+02
PB.10122.40	100	2.38E+03
PB.10122.41	5	1.19E+02
PB.10122.42	2	4.77E+01
PB.10122.44	2	4.77E+01
PB.10122.48	6	1.43E+02
PB.10122.49	11	2.62E+02
PB.10122.5	8	1.91E+02
PB.10122.50	3	7.15E+01
PB.10122.52	4	9.54E+01
PB.10122.53	80	1.91E+03
PB.10122.54	4	9.54E+01
PB.10122.55	2	4.77E+01
PB.10122.56	13	3.10E+02
PB.10122.57	100	2.38E+03
PB.10122.6	5	1.19E+02
PB.10122.61	10	2.38E+02
PB.10122.8	20	4.77E+02
PB.10122.86	15	3.58E+02
PB.10122.9	2	4.77E+01
PB.10122.91	8	1.91E+02
PB.10122.92	3	7.15E+01
PB.10122.93	7	1.67E+02
PB.10125.1	3	7.15E+01
PB.10125.10	3	7.15E+01
PB.10125.11	2	4.77E+01
PB.10125.13	4	9.54E+01
PB.10125.14	2	4.77E+01
PB.10125.16	2	4.77E+01
PB.10125.17	6	1.43E+02
PB.10125.18	11	2.62E+02
PB.10125.23	8	1.91E+02
PB.10125.3	3	7.15E+01
PB.10125.55	4	9.54E+01
PB.10125.6	80	1.91E+03
PB.10125.7	4	9.54E+01
PB.10127.10	2	4.77E+01
PB.10127.11	13	3.10E+02
PB.10127.2	100	2.38E+03
PB.10127.3	5	1.19E+02
PB.10127.4	2	4.77E+01
PB.10127.7	2	4.77E+01
PB.10127.9	6	1.43E+02
PB.10128.10	11	2.62E+02
PB.10128.11	8	1.91E+02
PB.10128.12	3	7.15E+01
PB.10128.2	4	9.54E+01
PB.10128.3	80	1.91E+03
PB.10128.5	4	9.54E+01
PB.10128.6	2	4.77E+01
PB.10128.7	13	3.10E+02
PB.10128.8	100	2.38E+03
PB.10130.2	5	1.19E+02
PB.10130.3	10	2.38E+02
PB.10130.8	20	4.77E+02
PB.10131.1	15	3.58E+02
PB.10149.1	2	4.77E+01
PB.1015.10	8	1.91E+02
PB.1015.102	3	7.15E+01
PB.1015.103	7	1.67E+02
PB.1015.104	3	7.15E+01
PB.1015.105	3	7.15E+01
PB.1015.107	2	4.77E+01
PB.1015.109	4	9.54E+01
PB.1015.110	2	4.77E+01
PB.1015.12	2	4.77E+01
PB.1015.13	6	1.43E+02
PB.1015.14	11	2.62E+02
PB.1015.16	8	1.91E+02
PB.1015.18	3	7.15E+01
PB.1015.20	4	9.54E+01
PB.1015.21	80	1.91E+03
PB.1015.23	4	9.54E+01
PB.1015.24	2	4.77E+01
PB.1015.25	13	3.10E+02
PB.6869.3	100	2.38E+03
PB.6914.6	5	1.19E+02
PB.6917.1	10	2.38E+02
PB.6919.19	20	4.77E+02
PB.6957.23	15	3.58E+02
PB.6967.29	2	4.77E+01
PB.7016.21	8	1.91E+02
PB.7022.5	3	7.15E+01
PB.7085.10	7	1.67E+02
